fragment,mass,Intensities
a16+CMCT,5302.899273,0.0993546
,5303.901995,0.207825
,5304.9046,0.238979
,5305.907142,0.196774
,5306.909641,0.128875
,5307.912106,0.071001
,5308.914547,0.034061
,5309.916966,0.014565
,5310.919368,0.005646
,5311.921756,0.002009
a16+CMCT-A,5167.844778,0.1068755
,5168.847533,0.215719
,5169.850157,0.240995
,5170.852715,0.193481
,5171.855225,0.123862
,5172.857702,0.066824
,5173.860151,0.031438
,5174.862579,0.013199
,5175.864989,0.005028
,5176.867384,0.00176
a16+CMCT-G,5151.849863,0.1071357
,5152.852618,0.216203
,5153.855243,0.241279
,5154.857801,0.193416
,5155.860313,0.123595
,5156.86279,0.066542
,5157.865241,0.031235
,5158.86767,0.013083
,5159.870081,0.004971
,5160.872476,0.001735
a16-A,4916.645015,0.1264302
,4917.647749,0.234099
,4918.650337,0.24413
,4919.652859,0.184498
,4920.655335,0.111825
,4921.657779,0.057358
,4922.660197,0.025739
,4923.662595,0.010335
,4924.664976,0.003773
a16-G,4900.650101,0.126738
,4901.652834,0.23462
,4902.655423,0.244374
,4903.657946,0.184372
,4904.660423,0.111526
,4905.662867,0.057077
,4906.665286,0.025551
,4907.667685,0.010233
,4908.670067,0.003726
a17,5396.746945,0.1016625
,5397.749633,0.209045
,5398.752201,0.238321
,5399.754709,0.19542
,5400.757175,0.127853
,5401.75961,0.070524
,5402.762022,0.033936
,5403.764414,0.014577
,5404.766791,0.005683
,5405.769153,0.002036
a17+CMCT,5647.946708,0.0859372
,5648.949418,0.191044
,5649.95202,0.232232
,5650.954561,0.201551
,5651.957059,0.138853
,5652.959526,0.080346
,5653.961967,0.040436
,5654.964388,0.018123
,5655.966791,0.007357
,5656.96918,0.00274
a17+CMCT-A,5512.892212,0.0924448
,5513.894954,0.198731
,5514.897574,0.235024
,5515.900129,0.199103
,5516.90264,0.134202
,5517.905116,0.076107
,5518.907567,0.037591
,5519.909996,0.016552
,5520.912407,0.006608
,5521.914803,0.002422
a17+CMCT-G,5496.897298,0.0926698
,5497.900039,0.199179
,5498.90266,0.23533
,5499.905216,0.199089
,5500.907727,0.133969
,5501.910205,0.075833
,5502.912656,0.037378
,5503.915086,0.016423
,5504.917498,0.006541
,5505.919895,0.002392
a17-A,5261.69245,0.1093574
,5262.69517,0.216847
,5263.697756,0.240198
,5264.700278,0.192078
,5265.702756,0.122866
,5266.705201,0.066387
,5267.707622,0.031337
,5268.710022,0.01322
,5269.712406,0.005067
,5270.714776,0.001786
a17-G,5245.697535,0.1096236
,5246.700255,0.217333
,5247.702842,0.240474
,5248.705365,0.192008
,5249.707843,0.122599
,5250.71029,0.066108
,5251.712711,0.031136
,5252.715112,0.013105
,5253.717496,0.00501
,5254.719867,0.001761
a18,5702.772248,0.0896642
,5703.77495,0.194211
,5704.777535,0.232386
,5705.780058,0.199629
,5706.782539,0.136655
,5707.784988,0.078798
,5708.787413,0.039608
,5709.789818,0.017763
,5710.792206,0.007227
,5711.79458,0.002701
a18+CMCT,5953.97201,0.0757921
,5954.974733,0.176807
,5955.977349,0.224962
,5956.979904,0.204066
,5957.982415,0.146793
,5958.984894,0.088626
,5959.987346,0.046512
,5960.989778,0.021728
