ion,mass,Intensities
,6944.941637,0.1107925
,6945.944073,0.0648145
,6946.946489,0.0337177
,6947.948888,0.0158692
,6948.951274,0.0068452
,6949.953647,0.0027336
a22+CMCT-G,7191.128658,0.045154
,7192.131355,0.1265106
,7193.133965,0.1906306
,7194.13652,0.2030702
,7195.139036,0.1705175
,7196.141521,0.1196285
,7197.143981,0.0726923
,7198.146421,0.0392032
,7199.148843,0.0190965
,7200.151251,0.0085136
,7201.153646,0.0035096
a22-A,6955.92381,0.0532851
,6956.926489,0.1404241
,6957.929073,0.200896
,6958.931602,0.2043455
,6959.934091,0.1645146
,6960.93655,0.1110056
,6961.938985,0.0650366
,6962.941401,0.0338878
,6963.9438,0.0159764
,6964.946185,0.0069038
,6965.948557,0.0027621
a22+CMCT-A,7207.123573,0.0450444
,7208.12627,0.1262206
,7209.12888,0.1903085
,7210.131434,0.2029092
,7211.133949,0.1705718
,7212.136434,0.1198196
,7213.138893,0.0729112
,7214.141332,0.0393811
,7215.143754,0.0192142
,7216.146162,0.0085806
,7217.148556,0.0035435
a23,7396.019592,0.0436299
,7397.022253,0.123114
,7398.024829,0.1872791
,7399.027354,0.2016965
,7400.029841,0.1714117
,7401.032299,0.1218104
,7402.034734,0.0750251
,7403.037149,0.0410345
,7404.039549,0.0202814
,7405.041935,0.0091781
,7406.044308,0.003842
a23+CMCT,7647.219354,0.0368823
,7648.222034,0.1102261
,7649.224634,0.1762332
,7650.227184,0.1985206
,7651.229695,0.17584
,7652.232177,0.1298801
,7653.234635,0.0829638
,7654.237074,0.0469747
,7655.239495,0.023998
,7656.241902,0.0112103
,7657.244297,0.0048384
,7658.24668,0.0019455
a23-G,7244.970182,0.0470489
,7245.972866,0.1292931
,7246.975458,0.192214
,7247.977995,0.2027478
,7248.980492,0.1690172
,7249.982959,0.1179562
,7250.985403,0.0714164
,7251.987826,0.0384267
,7252.990233,0.0186964
,7253.992625,0.0083336
,7254.995005,0.0034377
a23+CMCT-G,7496.169945,0.0397726
,7497.172646,0.1159317
,7498.175262,0.18132
,7499.177824,0.200187
,7500.180346,0.1740324
,7501.182837,0.1263021
,7502.185304,0.0793402
,7503.18775,0.0442102
,7504.190179,0.022241
,7505.192593,0.0102364
,7506.194994,0.004355
,7507.197383,0.0017268
a23-A,7260.965097,0.0469347
,7261.96778,0.1289971
,7262.970372,0.191893
,7263.972909,0.2025939
,7264.975406,0.1690783
,7265.977872,0.11815
,7266.980315,0.0716347
,7267.982738,0.0386026
,7268.985144,0.0188121
,7269.987536,0.0083993
,7270.989915,0.0034708
a23+CMCT-A,7512.164859,0.039676
,7513.167561,0.1156653
,7514.170176,0.1810054
,7515.172738,0.2000077
,7516.17526,0.174058
,7517.17775,0.1264723
,7518.180217,0.0795527
,7519.182662,0.0443921
,7520.185091,0.0223666
,7521.187504,0.0103107
,7522.189904,0.0043939
,7523.192293,0.0017453
a24,7741.067027,0.0377394
,7742.069681,0.1114481
,7743.072256,0.1768235
,7744.074781,0.1982043
,7745.077269,0.1750466
,7746.079728,0.1291176
,7747.082165,0.0824683
,7748.084582,0.0467385
,7749.086984,0.0239214
,7750.089372,0.0112038
,7751.091747,0.0048516
,7752.094112,0.0019584
a24+CMCT,7992.266789,0.0319029
,7993.269462,0.0995338
,7994.27206,0.1656744
,7995.274608,0.1939402
,7996.27712,0.1782768
,7997.279602,0.1365159
,7998.282061,0.0903294
,7999.284501,0.0529423
,8000.286924,0.0279807
,8001.289332,0.0135154
,8002.291728,0.0060291
,8003.294113,0.0025047
a24-G,7590.017617,0.0406969
,7591.020293,0.1171814
,7592.022883,0.1818602
,7593.02542,0.1998003
,7594.027918,0.1732026
,7595.030386,0.1255425
,7596.032831,0.0788657
,7597.035256,0.043994
,7598.037664,0.0221766
,7599.040059,0.0102353
,7600.042441,0.0043696
,7601.044812,0.0017397
a24+CMCT-G,7841.217379,0.034403
,7842.220073,0.1047974
,7843.222686,0.1707784
,7844.225246,0.1960753
,7845.227768,0.1770123
,7846.23026,0.1332586
,7847.232727,0.0867578
,7848.235175,0.0500671
,7849.237605,0.0260697
,7850.24002,0.0124124
,7851.242422,0.0054604
,7852.244812,0.0022379
a24-A,7606.012532,0.0405981
,7607.015208,0.1169123
,7608.017798,0.1815467
,7609.020334,0.1996248
,7610.022831,0.1732312
,7611.025299,0.1257135
,7612.027744,0.0790773
,7613.030168,0.0441748
,7614.032576,0.0223013
