fragment,mass,Intensities
,6205.118998,0.141651
,6206.121525,0.207101
,6207.124016,0.210559
,6208.126479,0.16666
,6209.128918,0.109131
,6210.131339,0.061394
,6211.133742,0.030445
,6212.136132,0.013556
,6213.138509,0.005496
,6214.140876,0.002051
a10+rev+CMCT,6455.316183,0.0429976
,6456.318783,0.126916
,6457.321337,0.195696
,6458.323855,0.20905
,6459.326344,0.173342
,6460.32881,0.118621
,6461.331257,0.0696
,6462.333686,0.035935
,6463.3361,0.016635
,6464.338502,0.007002
,6465.340892,0.00271
a10+rev+CMCT-G,6304.266773,0.0463718
,6305.269394,0.133457
,6306.271964,0.201009
,6307.274496,0.210035
,6308.276998,0.170541
,6309.279475,0.114384
,6310.281931,0.065829
,6311.28437,0.033359
,6312.286794,0.015165
,6313.289204,0.006272
,6314.291602,0.002386
a10+rev-G,6053.067011,0.0548512
,6054.069608,0.148711
,6055.072153,0.21213
,6056.074658,0.210755
,6057.077133,0.163216
,6058.079583,0.104675
,6059.082014,0.057723
,6060.084427,0.028078
,6061.086825,0.012271
,6062.089211,0.004886
,6063.091585,0.001791
a10-G,3061.402046,0.2746394
,3062.404755,0.31818
,3063.407255,0.221091
,3064.409703,0.113784
,3065.412105,0.047717
,3066.41448,0.017113
,3067.416833,0.005413
a11,3517.492742,0.2243247
,3518.49541,0.301799
,3519.497911,0.236541
,3520.500356,0.136145
,3521.50276,0.063428
,3522.505136,0.025165
,3523.50749,0.008776
,3524.509828,0.002749
a11+CMCT,3768.692505,0.1896371
,3769.695208,0.286764
,3770.697765,0.245388
,3771.700259,0.152489
,3772.702709,0.076099
,3773.705128,0.032166
,3774.707523,0.011901
,3775.709899,0.003941
a11+CMCT-G,3617.643095,0.2044918
,3618.645844,0.294151
,3619.648423,0.242016
,3620.650936,0.145246
,3621.653401,0.070219
,3622.655833,0.028815
,3623.65824,0.010368
,3624.660627,0.003343
