spectrum:	/Users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/0403_0x_134_7.csv
limit_error:	6.5	2020-03-23
noise_limit:	2000000.0
outlier_limit:	0.65
shape_limit:	0.6
					shape_error=sqrt(sum_or_squares/Intensity)
Observed ions: 
m/z 	z 	I 	fragment 	error_/ppm 	shape_error 	formula 	qual.factor
1047.943054	5	9724848.478534508	y16+2DEPC+H2O-CO	-1.24	0.27	C157H199N60O116P15	0.7
1298.675048	4	56326575.3	y16+2DEPC+H2O-CO-Eth	2.51	0.18	C155H193N60O115P15	1.7
1038.737242	5	12280245.07	y16+2DEPC+H2O-CO-Eth	1.22	0.3	C155H193N60O115P15	1.2
1260.910689	4	5785807.825884989	y16+2DEPC+H2O-CO-Eth-G	0.99	0.26	C150H188N55O114P15	0.4
1386.444374	4	8435719.61	y17+2DEPC+H2O-CO	1.29	0.58	C166H211N63O123P16	13.9
1374.931545	4	25916816.406872243	y17+2DEPC+H2O-CO-Eth	-0.42	0.22	C164H205N63O122P16	1.2
1099.74275	5	15621940.78	y17+2DEPC+H2O-CO-Eth	-1.35	0.3	C164H205N63O122P16	1.6
1429.193264	4	21397679.48	y18	3.39	0.31	C170H213N66O126P17	2.4
1143.153538	5	10535538.78	y18	3.72	0.37	C170H213N66O126P17	2.1
1462.703058	4	40519182.21	y18+2DEPC+H2O-CO	0.11	0.13	C175H223N66O130P17	0.7
1169.962506	5	8549505.69	y18+2DEPC+H2O-CO	1.4	0.57	C175H223N66O130P17	12.8
1451.195942	4	62423337.07419885	y18+2DEPC+H2O-CO-Eth	2.42	0.11	C173H217N66O129P17	0.9
1160.753022	5	16593367.91	y18+2DEPC+H2O-CO-Eth	0.45	0.28	C173H217N66O129P17	1.4
1208.959326	5	14894910.78	y19	-0.38	0.48	C180H225N71O132P18	9.0
1226.561744	5	48311072.76205739	y19+2DEPC+H2O-CO-Eth	-1.02	0.17	C183H229N71O135P18	1.3
1473.693864	4	10153431.384068448	y19-G	3.16	0.38	C175H220N66O131P18	2.3
1269.968334	5	11203122.7	y20	0.23	0.41	C189H237N74O139P19	3.4
1621.228965	4	11286882.2	y20+2DEPC+H2O-CO	1.61	0.35	C194H247N74O143P19	1.9
