spectrum:	/Users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/0801_65_6.csv
limit_error:	6
noise_limit:	2470000.0
outlier_limit:	0.65
shape_limit:	0.6
					shape_error=sqrt(sum_or_squares/Intensity)
Observed ions: 
m/z 	z 	I 	fragment 	error_/ppm 	shape_error 	formula 
670.58811353	2	1201433.1098389658	c04	0.0	1	
671.0892435300001	2	273124.40628422314	c04	0.0	1	
822.09685	2	44173613.00314351	c05	-0.39	1	
822.59857	2	27244573.43468025	c05	0.09	1	
823.10008	2	11533541.651594853	c05	0.5	1	
823.60085253	2	3658609.4669848066	c05	0.0	1	
824.10200403	2	969496.8054217357	c05	0.0	1	
824.60315103	2	221662.02447476567	c05	0.0	1	
947.69773	2	6460204.367660212	c05+CMCT	0.72	1	
948.19936	2	5061997.161670457	c05+CMCT	1.0	0	
948.70202	2	2448983.2894174075	c05+CMCT	2.49	0	
949.20087203	2	882956.3211719848	c05+CMCT	0.0	1	
949.70206553	2	260743.57380887904	c05+CMCT	0.0	1	
950.2032460300001	2	66010.454156337	c05+CMCT	0.0	1	
974.61809	2	68346333.41039899	c06	0.28	1	
975.11954	2	49883657.671056196	c06	0.4	1	
975.62122	2	23993959.70765983	c06	0.89	1	
976.11886	2	8653974.147564465	c06	-2.75	1	
976.62270603	2	2588815.470529173	c06	0.0	1	
977.12386403	2	667459.1302556585	c06	0.0	1	
1100.21721	2	12778945.435878905	c06+CMCT	-0.44	1	
1100.7188	2	11458526.054226292	c06+CMCT	-0.24	1	
1101.21968	2	6235142.129830377	c06+CMCT	-0.58	1	
1101.72154103	2	2519855.1330855316	c06+CMCT	0.0	1	
1102.22274303	2	831497.9212706548	c06+CMCT	0.0	1	
1102.72393103	2	234840.1353999222	c06+CMCT	0.0	1	
899.09269	2	8376066.748999304	c06-G	-0.47	1	
899.59404	2	5495897.246746849	c06-G	-0.51	1	
900.09569203	2	2498162.217447396	c06-G	0.0	1	
900.5969015300001	2	850364.6883389637	c06-G	0.0	1	
901.09807303	2	242367.52868219325	c06-G	0.0	1	
901.59924103	2	59631.63742090289	c06-G	0.0	1	
1139.14386	2	31854589.07459514	c07	-0.19	1	
1139.64462	2	27420353.37538732	c07	-0.69	1	
1140.14591	2	14872420.21418403	c07	-0.61	1	
1140.64768	2	6029299.013591196	c07	-0.11	1	
1141.14897653	2	2010844.716697818	c07	0.0	1	
1141.6501380299999	2	576352.0107098073	c07	0.0	1	
1264.74435	2	8667634.593934933	c07+CMCT	0.31	1	
1265.24659	2	8906888.590401022	c07+CMCT	1.01	1	
1265.74868	2	5422318.047266973	c07+CMCT	1.67	1	
1266.24779203	2	2436836.3711668435	c07+CMCT	0.0	1	
1266.7489965299999	2	889692.92416206	c07+CMCT	0.0	1	
1267.2501865299998	2	277206.32449958	c07+CMCT	0.0	1	
1267.75136553	2	76043.49953523443	c07+CMCT	0.0	1	
1063.6165	2	6208152.76459908	c07-G	-2.7	1	
1064.12081	2	4886280.88949241	c07-G	0.07	1	
1064.62194953	2	2510685.8410037197	c07-G	0.0	1	
1065.1231575299998	2	967043.7877241132	c07-G	0.0	1	
1065.6243370299999	2	308470.55230154796	c07-G	0.0	1	
1066.1255070299999	2	84763.43811785342	c07-G	0.0	1	
1291.66325	2	41626746.99110366	c08	-1.14	1	
1292.16526	2	40540399.94144896	c08	-0.61	1	
1292.66848	2	24328818.047663335	c08	0.93	1	
1293.17297	2	10876146.370949652	c08	3.47	1	
1293.67551	2	3983424.2977154246	c08	4.52	1	
1294.17083503	2	1251342.6303500505	c08	0.0	1	
1294.67199553	2	347540.4787675593	c08	0.0	1	
860.77373	3	13164362.061045958	c08	-0.37	1	
861.10846	3	12820807.329549406	c08	0.21	1	
861.44276	3	7693932.205780992	c08	0.39	1	
861.77516	3	3439556.0308066295	c08	-1.63	0	
862.1106841966666	3	1259748.682958597	c08	0.0	1	
862.4447978633334	3	395734.20070202096	c08	0.0	1	
862.7789048633334	3	109908.86927444013	c08	0.0	1	
1417.26459	2	14098280.999323972	c08+CMCT	-0.01	1	
1417.76454	2	16082044.431142056	c08+CMCT	-1.0	1	
1418.26469	2	10743139.777563246	c08+CMCT	-1.79	0	
1418.76737	2	5279342.986975035	c08+CMCT	-0.77	0	
1419.27567	2	2102211.2726146425	c08+CMCT	4.23	0	
1419.77086603	2	713310.1247986685	c08+CMCT	0.0	1	
1420.27205153	2	212804.76246844913	c08+CMCT	0.0	1	
970.4582	3	17028857.813704684	c09	-0.03	1	
970.79243	3	18814049.473125312	c09	-0.01	1	
971.12556	3	12468942.514769955	c09	-1.07	1	
971.45979	3	6120758.3104679	c09	-0.97	1	
971.7948608633333	3	2448210.4261963167	c09	0.0	1	
972.1289768633333	3	837359.2649671127	c09	0.0	1	
972.46308653	3	252566.41260622247	c09	0.0	1	
1581.79631	2	3048999.9082830185	c09+CMCT	3.45	1	
1582.2922070299999	2	3877230.1023882222	c09+CMCT	0.0	1	
1582.80016	2	2840546.5711851856	c09+CMCT	4.22	1	
1583.29470903	2	1522208.8932527308	c09+CMCT	0.0	1	
1583.7959230299998	2	658332.5955929749	c09+CMCT	0.0	1	
1584.2971220299999	2	241957.18189325804	c09+CMCT	0.0	1	
1584.7983095299999	2	78041.18303911643	c09+CMCT	0.0	1	
1585.29948803	2	22566.273381150113	c09+CMCT	0.0	1	
1608.70915	2	5768632.77841749	c10	-1.54	1	
1609.20876	2	7025843.930988262	c10	-2.61	1	
1609.71406	2	5061374.7462124005	c10	-0.08	1	
1610.2154130299998	2	2690390.511605967	c10	0.0	1	
1610.71660853	2	1161710.8194141996	c10	0.0	1	
1611.21779053	2	428175.0112881745	c10	0.0	1	
1611.71896253	2	138958.70118624822	c10	0.0	1	
1734.31150153	2	4375372.785592572	c10+CMCT	0.0	1	
1734.81822	2	6058784.253138586	c10+CMCT	3.09	1	
1735.32212	2	4793962.175935879	c10+CMCT	4.61	1	
1735.8153710299998	2	2765779.0031605395	c10+CMCT	0.0	1	
1736.3165915299999	2	1284957.4516299001	c10+CMCT	0.0	1	
1736.8177970299998	2	506589.9924294383	c10+CMCT	0.0	1	
1737.31899003	2	175067.5639251901	c10+CMCT	0.0	1	
1737.8201740299999	2	54215.24696515959	c10+CMCT	0.0	1	
1886.83214503	2	3639357.449744873	c11+CMCT	0.0	1	
1887.34754	2	5451217.584408418	c11+CMCT	7.44	1	
1887.84158	2	4631083.892030732	c11+CMCT	3.6	1	
1888.33603103	2	2859929.617825584	c11+CMCT	0.0	1	
1888.83725803	2	1419303.5249860869	c11+CMCT	0.0	1	
1889.33846903	2	596861.6220688121	c11+CMCT	0.0	1	
1889.8396675299998	2	219790.83474097034	c11+CMCT	0.0	1	
1890.3408570299998	2	72462.67513625862	c11+CMCT	0.0	1	
1257.54427	3	2059196.6623270852	c11+CMCT	-6.42	1	
1257.8828	3	3084371.1315631927	c11+CMCT	-3.0	1	
1258.2207628633332	3	2620328.6225965316	c11+CMCT	0.0	1	
1258.5549285299999	3	1618186.0685131827	c11+CMCT	0.0	1	
