spectrum:	/Users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/2409_90_6.csv
limit_error:	6
noise_limit:	1500000.0
outlier_limit:	0.65
shape_limit:	0.6
					shape_error=sqrt(sum_or_squares/Intensity)
Observed ions: 
m/z 	z 	I 	fragment 	error_/ppm 	shape_error 	formula 
1174.14537	2	1867460.4723245096	c07+DEPC+H2O	-4.06	1	
1174.6513200299999	2	644759.6607929114	c07+DEPC+H2O	0.0	1	
1175.1524980299998	2	191567.4994885503	c07+DEPC+H2O	0.0	1	
1175.65366453	2	50454.79330625093	c07+DEPC+H2O	0.0	1	
1280.64167	2	4124538.6741175186	c08	-1.13	1	
1281.13728	2	3915419.552832493	c08	-5.63	1	
1281.6457300299999	2	2338759.5005778526	c08	0.0	1	
1282.1469510299999	2	1043979.3909967592	c08	0.0	1	
1282.64814603	2	383390.2435412056	c08	0.0	1	
1283.1493285299998	2	121012.63370330087	c08	0.0	1	
1283.65049953	2	33832.77630050734	c08	0.0	1	
1325.65813	2	15610552.86794927	c08+DEPC+H2O	-0.63	1	
1326.15998	2	15358163.20859429	c08+DEPC+H2O	-0.28	1	
1326.66158	2	9466145.720657302	c08+DEPC+H2O	-0.01	1	
1327.15902	2	4357673.322129322	c08+DEPC+H2O	-2.87	1	
1327.6640295299999	2	1649049.5802574623	c08+DEPC+H2O	0.0	1	
1328.16521853	2	536204.1669302641	c08+DEPC+H2O	0.0	1	
1328.6663950299999	2	154387.54260786908	c08+DEPC+H2O	0.0	1	
1453.16272	2	3115126.0798885664	c09	-2.83	1	
1453.6681950299999	2	3366240.9703315413	c09	0.0	1	
1454.16378	2	2224362.0579606886	c09	-3.89	1	
1454.67066203	2	1093354.5988549287	c09	0.0	1	
1455.1718600299998	2	439698.01797077147	c09	0.0	1	
1455.67304503	2	151573.1464844682	c09	0.0	1	
1456.17421853	2	46161.863094855966	c09	0.0	1	
998.45101	3	5672945.260215986	c09+DEPC+H2O	-1.69	1	
998.78525	3	6326157.507840278	c09+DEPC+H2O	-1.7	1	
