spectrum:	/Users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/0303_neoRibo.csv
limit_error:	6
noise_limit:	2029999.9999999998
outlier_limit:	0.65
shape_limit:	0.6
					shape_error=sqrt(sum_or_squares/Intensity)
Observed ions: 
m/z 	z 	I 	fragment 	error_/ppm 	shape_error 	formula 
1253.7322	2	26266537.69005149	c07+CMCT	0.38	1	
1254.23443	2	15873663.6594983	c07+CMCT	1.14	1	
1254.7379	2	7107182.610219018	c07+CMCT	2.92	1	
1255.235447250643	2	2592995.0219052876	c07+CMCT	0.0	1	
1255.7366458005256	2	808905.9361230119	c07+CMCT	0.0	1	
1256.2378323075486	2	222475.88354028534	c07+CMCT	0.0	1	
1280.64347	2	13933118.53131839	c08	0.28	0	
1281.1425	2	13226697.102779655	c08	-1.55	1	
1281.64178	2	7900586.040483853	c08	-3.08	1	
1282.14403	2	3526669.58581001	c08	-2.28	0	
1282.648145802323	2	1295117.490613117	c08	0.0	1	
1283.1493284138987	2	408786.0189725575	c08	0.0	1	
1283.650499442265	2	114273.63982792544	c08	0.0	1	
853.42594	3	5163086.884703632	c08	-0.44	1	
853.76037	3	4901313.814693236	c08	-0.23	1	
854.0947278458428	3	2927658.4474183023	c08	0.0	1	
854.42946	3	1306850.3970773234	c08	0.68	1	
854.763005044882	3	479921.57067382237	c08	0.0	1	
855.0971267859326	3	151480.64149912252	c08	0.0	1	
855.4312408048435	3	42345.4899731683	c08	0.0	1	
1406.2434	2	43893086.17291382	c08+CMCT	0.29	1	
1406.74557	2	48989269.366315804	c08+CMCT	0.84	1	
1407.2469	2	32502718.177397434	c08+CMCT	0.87	1	
1407.74763	2	15934270.301845156	c08+CMCT	0.5	1	
1408.24723	2	6352237.236968063	c08+CMCT	-0.65	1	
1408.7493527509444	2	2162718.2732857103	c08+CMCT	0.0	1	
1409.25054815565	2	648624.9359904445	c08+CMCT	0.0	1	
1330.7182921779765	2	3164492.5035046265	c08+CMCT-G	0.0	1	
1331.21968	2	3298603.7948958385	c08+CMCT-G	-0.03	1	
1331.71645	2	2086061.7400108827	c08+CMCT-G	-3.43	1	
1332.2222721693247	2	979732.652256378	c08+CMCT-G	0.0	1	
1332.7235045589257	2	375815.0449729149	c08+CMCT-G	0.0	1	
1333.2247205444417	2	123440.56035783759	c08+CMCT-G	0.0	1	
1333.7259229536278	2	35791.084248809406	c08+CMCT-G	0.0	1	
1453.1726	2	4463548.971580044	c09	3.97	1	
1453.67888	2	4823366.72305354	c09	7.35	1	
1454.15879	2	3187208.869643754	c09	-7.32	1	
1454.6706620280531	2	1566620.135398559	c09	0.0	1	
1455.1718600046397	2	630025.8789882483	c09	0.0	1	
1455.6730448128314	2	217181.8834059185	c09	0.0	1	
1456.1742184179586	2	66150.06899424923	c09	0.0	1	
968.44334	3	7508541.435176364	c09	1.25	1	
968.77673	3	8113823.580225701	c09	0.37	1	
969.11189	3	5361493.7379773725	c09	1.4	1	
969.4446825287022	3	2635354.1262162314	c09	0.0	1	
969.7788145130933	3	1059823.7966552665	c09	0.0	1	
970.1129377185543	3	365341.3866199222	c09	0.0	1	
970.4470534553059	3	111277.043703471	c09	0.0	1	
1578.76538	2	17189438.6945385	c09+CMCT	-0.85	1	
1579.27023	2	21442412.261117835	c09+CMCT	1.35	1	
1579.77133	2	15632374.572718631	c09+CMCT	1.24	1	
1580.27247	2	8378113.172400568	c09+CMCT	1.17	1	
1580.77303	2	3637154.7542821914	c09+CMCT	0.75	1	
1581.2730574680006	2	1345225.3530755893	c09+CMCT	0.0	1	
1581.7742537261288	2	437466.2945126651	c09+CMCT	0.0	1	
1582.27544029721	2	127771.27416538626	c09+CMCT	0.0	1	
1052.17543	3	3153964.026740986	c09+CMCT	0.04	1	
1052.5095	3	3934310.9522012924	c09+CMCT	-0.13	1	
1052.8458	3	2868269.7516213907	c09+CMCT	1.88	1	
1053.1779905875517	3	1537238.5350844422	c09+CMCT	0.0	1	
1053.512140361371	3	667354.8484361354	c09+CMCT	0.0	1	
1053.846279488667	3	246825.53321583377	c09+CMCT	0.0	1	
1054.1804103274192	3	80267.48169752653	c09+CMCT	0.0	1	
1054.51453470814	3	23443.813933059177	c09+CMCT	0.0	1	
1503.242009550205	2	4145335.8547939532	c09+CMCT-G	0.0	1	
1503.748	2	4865353.314086547	c09+CMCT-G	3.05	1	
1504.2453	2	3392741.361215603	c09+CMCT-G	0.39	1	
1504.73945	2	1747894.604636745	c09+CMCT-G	-4.33	1	
1505.2472029879116	2	732224.570652169	c09+CMCT-G	0.0	1	
1505.7484190586656	2	261977.49333251483	c09+CMCT-G	0.0	1	
1506.2496218955062	2	82572.78025706949	c09+CMCT-G	0.0	1	
1070.45041	3	8289897.388730931	c10	-0.14	1	
1070.78292	3	9867702.327469267	c10	-1.77	1	
1071.11674	3	7083740.194608769	c10	-2.1	1	
1071.45086	3	3771381.221742239	c10	-2.13	1	
1071.7872826548476	3	1638207.3743765038	c10	0.0	1	
1072.121412653369	3	609039.0324609295	c10	0.0	1	
1072.455534792986	3	199819.2507665097	c10	0.0	1	
1072.789651029344	3	59049.00829158215	c10	0.0	1	
1731.78109	2	12706615.768472208	c10+CMCT	1.0	1	
1732.28214	2	17244580.1852234	c10+CMCT	0.8	1	
1732.78122	2	13572810.150958186	c10+CMCT	-0.48	1	
1733.28949	2	7832879.224144605	c10+CMCT	3.57	1	
1733.78344	2	3654787.4890123745	c10+CMCT	-0.63	1	
1734.2857569389007	2	1451125.808915295	c10+CMCT	0.0	1	
1734.7869611851886	2	506159.53291477595	c10+CMCT	0.0	1	
1735.2881552824254	2	158466.01636136053	c10+CMCT	0.0	1	
1154.18491	3	10892302.056083879	c10+CMCT	0.95	1	
1154.51898	3	14782313.373625876	c10+CMCT	0.78	1	
1154.85321	3	11634816.902305182	c10+CMCT	0.81	1	
1155.18725	3	6714461.823099989	c10+CMCT	0.7	1	
1155.5239	3	3132938.778230295	c10+CMCT	2.85	1	
1155.8547458026005	3	1243926.8582672277	c10+CMCT	0.0	1	
1156.1888819667925	3	433887.5607424588	c10+CMCT	0.0	1	
1156.5230113649502	3	135839.45145449243	c10+CMCT	0.0	1	
1172.13009	3	15340560.697073884	c11	-0.77	1	
1172.4642	3	19995406.997193906	c11	-0.89	1	
1172.80038	3	15483891.441959124	c11	0.82	1	
