spectrum:	/users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/1311_1_6.csv
limit_error:	6
noise_limit:	1600000.0
shape_limit:	0.7
stddev_limit:	0.7

Observed fragments: 
m/z 	z 	I 	fragment 	error 	std-dev 	formula 
1493.18899	4	16713893.365327952	y19	-0.08	1	
1493.43889	4	4742755.718197249	a19	4.32	1	
1493.43889	4	10018876.37945764	y19	-0.56	1	
1493.6835	4	2213647.23179309	a19	0.3	1	
1493.6835	4	5235649.531420464	y19	-4.58	1	
1496.41549	5	7536641.1127950465	y23+CMCT	-0.42	1	
1496.41549	5	9205494.013116995	a23+CMCT	0.97	1	
1496.6172	5	7996064.521728482	a23+CMCT	1.77	1	
1496.6172	5	11712864.178941708	y23+CMCT	0.37	1	
1496.81858	5	5808700.904241243	a23+CMCT	2.35	1	
1496.81858	5	12891259.194855744	y23+CMCT	0.94	1	
1497.01973	5	3657795.7907367586	a23+CMCT	2.79	1	
1497.01973	5	11198217.830165211	y23+CMCT	1.37	1	
1497.22194	5	2045654.7523722684	a23+CMCT	3.93	1	
1497.22194	5	8135313.217581572	y23+CMCT	2.51	1	
1512.20449	5	6592875.856756608	w23+CMCT	-2.87	1	
1512.20449	5	37123322.79906547	c23+CMCT	-1.52	1	
1512.40317	5	19006317.67029357	w23+CMCT	-4.11	1	
1512.40317	5	40960075.63018927	c23+CMCT	-2.73	1	
1512.60405	5	29589785.1128264	w23+CMCT	-3.88	1	
1512.60405	5	35690322.61178627	c23+CMCT	-2.49	1	
1512.80506	5	26020028.838908177	c23+CMCT	-2.16	1	
1512.80506	5	32649929.39914227	w23+CMCT	-3.55	1	
1513.00541	5	16449734.072288759	c23+CMCT	-2.26	1	
1513.00541	5	28450913.935558125	w23+CMCT	-3.66	1	
1513.20876	5	9238722.593444524	c23+CMCT	-0.37	1	
1513.20876	5	20743213.225488946	w23+CMCT	-1.78	1	
1517.21645	4	2762723.9882164905	y19+CMCT-G	-5.03	1	
1517.21645	4	7174067.363522835	a19+CMCT-G	-0.28	1	
1517.46583	4	6475880.328277981	y19+CMCT-G	-5.9	1	
1517.46583	4	9215375.646377388	a19+CMCT-G	-1.13	1	
1517.71753	4	8323417.428805575	y19+CMCT-G	-5.22	1	
1517.71753	4	8469004.961412977	a19+CMCT-G	-0.44	1	
1517.97308	4	6187224.22772101	a19+CMCT-G	2.8	1	
1517.97308	4	7649766.994157322	y19+CMCT-G	-1.99	1	
1518.2195	4	3800858.278791858	a19+CMCT-G	0.02	1	
1518.2195	4	5587008.13756714	y19+CMCT-G	-4.77	1	
1537.20617	4	1517405.2131196964	w19+CMCT-G	-6.18	1	
1537.20617	4	7385762.326058545	c19+CMCT-G	-1.49	1	
1537.45886	4	3558742.3929151706	w19+CMCT-G	-4.88	1	
1537.45886	4	9510929.257301593	c19+CMCT-G	-0.17	1	
1537.95999	4	4229253.746705246	w19+CMCT-G	-5.0	1	
