spectrum:	/Users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/0301_neoRibo_6.csv
limit_error:	6
noise_limit:	2470000.0
outlier_limit:	0.65
shape_limit:	0.6
					shape_error=sqrt(sum_or_squares/Intensity)
Observed ions: 
m/z 	z 	I 	fragment 	error_/ppm 	shape_error 	formula 
1461.2240931966667	3	3381588.9998754193	c13+CMCT	0.0	1	
1461.5582401966665	3	1404834.1779360375	c13+CMCT	0.0	1	
1461.8923801966666	3	522577.600470783	c13+CMCT	0.0	1	
1462.2265138633334	3	176806.40786030173	c13+CMCT	0.0	1	
1477.82963	3	5347957.771740097	c14	0.91	1	
1478.16503	3	8749099.345990103	c14	1.68	1	
1478.50006	3	8255243.164118151	c14	2.24	1	
1478.84273	3	5699860.221274809	c14	7.98	1	
1479.16509053	3	3177785.3477665423	c14	0.0	1	
1479.49923953	3	1506448.4597548079	c14	0.0	1	
1479.8333798633334	3	627088.4592122453	c14	0.0	1	
1480.1675131966665	3	234235.28921061664	c14	0.0	1	
1480.50164053	3	79730.34815531208	c14	0.0	1	
1561.56279	3	15104592.427715119	c14+CMCT	0.8	1	
1561.89542	3	27230184.086744595	c14+CMCT	-0.25	1	
1562.22905	3	27665963.446485553	c14+CMCT	-0.63	1	
1562.56469	3	20375866.966807622	c14+CMCT	0.3	1	
1562.89728	3	12037827.565695237	c14+CMCT	-0.71	1	
1563.23484	3	6019251.683617643	c14+CMCT	1.46	1	
1563.5667021966665	3	2633373.3343870905	c14+CMCT	0.0	1	
1563.9008458633332	3	1030935.2493432437	c14+CMCT	0.0	1	
1564.23498353	3	366960.23624607106	c14+CMCT	0.0	1	
1663.56687	3	20977961.74290546	c15+CMCT	-1.87	1	
1663.90261	3	40120193.31312875	c15+CMCT	-0.99	1	
1664.2358	3	43032353.09141558	c15+CMCT	-1.6	1	
1664.57104	3	33383684.357704394	c15+CMCT	-0.98	1	
1664.90506	3	20743218.85560644	c15+CMCT	-1.07	1	
1665.23534	3	10897142.616369143	c15+CMCT	-3.4	1	
1665.57085	3	5004714.809910449	c15+CMCT	-2.59	1	
1665.9093091966665	3	2055308.3324677423	c15+CMCT	0.0	1	
1666.2434505299998	3	767104.6373768542	c15+CMCT	0.0	1	
1613.22681	3	2997839.715205858	c15+CMCT-G	4.11	1	
1613.56266	3	5512323.995188749	c15+CMCT-G	5.08	1	
1613.88899	3	5729798.216321034	c15+CMCT-G	0.19	1	
1614.2228868633333	3	4323184.449291425	c15+CMCT-G	0.0	1	
1614.55706853	3	2619021.3858677046	c15+CMCT-G	0.0	1	
1614.8912375300001	3	1343813.473193505	c15+CMCT-G	0.0	1	
1615.2253961966667	3	603606.7164291941	c15+CMCT-G	0.0	1	
1615.5595471966667	3	242716.55480742492	c15+CMCT-G	0.0	1	
1615.8936911966666	3	88794.7268386222	c15+CMCT-G	0.0	1	
1773.26375	3	14325849.201017	c16+CMCT	5.41	1	
1773.5956	3	29273768.24715513	c16+CMCT	4.05	1	
1773.92881	3	33264267.94074216	c16+CMCT	3.48	1	
1774.26184	3	27227673.332857218	c16+CMCT	2.82	1	
1774.59616	3	17800383.206835486	c16+CMCT	2.9	1	
1774.93208	3	9818964.766907265	c16+CMCT	3.89	1	
1775.26593	3	4727753.172400821	c16+CMCT	3.72	1	
1775.59347553	3	2032964.594667658	c16+CMCT	0.0	1	
1775.92761753	3	793825.6006250033	c16+CMCT	0.0	1	
1776.261753863333	3	284955.87282685324	c16+CMCT	0.0	1	
1882.9383251966665	3	5718415.47335119	c17+CMCT	0.0	1	
1883.27683	3	12433887.871683942	c17+CMCT	2.25	1	
1883.61003	3	14923829.317899704	c17+CMCT	1.71	1	
1883.94284	3	12854515.635105876	c17+CMCT	0.98	1	
