spectrum:	/users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/1710_134_6n.csv
limit_error:	6
noise_limit:	1800000.0
shape_limit:	0.75
stddev_limit:	0.7

Observed fragments: 
m/z 	z 	I 	fragment 	error 	std-dev 	formula 
1424.940545	4	86298599.1	y18+2DEPC+H2O-CO-G	-0.0	0.41	C170H218N61O129P17	
1447.186099	4	17454702.96	y18+DEPC	-5.26	0.46	C173H217N66O128P17	
1511.447863	4	16013695.37	y19	-2.44	0.35	C180H225N71O132P18	
1544.964684	4	56959197.41	y19+2DEPC+H2O-CO	-0.87	0.16	C185H235N71O136P18	
1521.938778	4	32397509.79	y19+2DEPC+H2O-CO-2Eth	-4.15	0.25	C181H223N71O134P18	
1533.458123	4	93961080.61	y19+2DEPC+H2O-CO-Eth	1.67	0.08	C183H229N71O135P18	
1526.95724	4	23010683.3	y19+DEPC+H2O-CO	-2.3	0.27	C182H231N71O134P18	
1473.687223	4	48084034.58	y19-G	-1.34	0.19	C175H220N66O131P18	
1587.71306	4	49125263.66	y20	0.74	0.06	C189H237N74O139P19	
1621.230767	4	42765277.29	y20+2DEPC+H2O-CO	2.72	0.12	C194H247N74O143P19	
1598.198481	4	22664501.1	y20+2DEPC+H2O-CO-2Eth	-4.34	0.36	C190H235N74O141P19	
1609.714371	4	101542545.3	y20+2DEPC+H2O-CO-Eth	-0.94	0.27	C192H241N74O142P19	
1669.981921	4	11150764.38	y21	4.14	0.44	C199H249N79O145P20	
1703.487312	4	70689540.93	y21+2DEPC+H2O-CO	-1.28	0.1	C204H259N79O149P20	
1680.463811	4	43903964.16	y21+2DEPC+H2O-CO-2Eth	-2.82	0.14	C200H247N79O147P20	
1691.981946	4	131528482.99	y21+2DEPC+H2O-CO-Eth	1.73	0.09	C202H253N79O148P20	
1687.981401	4	17757016.18	y21+DEPC	0.66	0.33	C202H253N79O147P20	
1746.231912	4	21256255.47	y22	-1.96	0.35	C208H261N82O152P21	
1163.823448	6	17243641.86	y22	1.99	0.56	C208H261N82O152P21	
1779.754674	4	39496824.47	y22+2DEPC+H2O-CO	2.73	0.16	C213H271N82O156P21	
1756.720534	4	21045474.88	y22+2DEPC+H2O-CO-2Eth	-4.75	0.24	C209H259N82O154P21	
1768.244009	4	56122581.68	y22+2DEPC+H2O-CO-Eth	2.64	0.12	C211H265N82O155P21	
1393.39002	5	11696312.6	y22+2DEPC+H2O-CO-G	1.08	0.42	C208H266N77O155P21	
1174.153923	6	69708761.16	y22+DEPC+H2O-CO	-5.68	0.4	C210H267N82O154P21	
1708.484077	4	34310335.5	y22-G	6.5	0.51	C203H256N77O151P21	
1457.99747	5	47368783.02	y23	3.84	0.07	C217H272N84O160P22	
