spectrum:	/Users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/1411_1_6.csv
limit_error:	6
noise_limit:	2000000.0
shape_limit:	0.7
stddev_limit:	0.7

Observed fragments: 
m/z 	z 	I 	fragment 	error 	std-dev*n 	formula 
1870.526202	4	186744929.44	y23+CMCT	2.64	0.03	C229H293N79O166P22	
1496.220777	5	96998517.14	y23+CMCT	3.49	0.07	C229H293N79O166P22	
1832.760093	4	48703030.54	y23+CMCT-G	0.64	0.17	C224H288N74O165P22	
1947.02156	4	11082431.92	y24+CMCT	-3.1	0.53	C238H304N81O174P23	
1557.424767	5	376526150.77	y24+CMCT	2.66	0.03	C238H304N81O174P23	
1527.21634	5	39077313.67	y24+CMCT-G	3.67	0.19	C233H299N76O173P23	
1618.433162	5	290785375.82	y25+CMCT	2.65	0.03	C247H316N84O181P24	
1588.224135	5	34188204.7	y25+CMCT-G	3.24	0.26	C242H311N79O180P24	
1537.980148	5	9866571.93	y25-G	0.72	0.55	C228H286N76O179P24	
1687.442275	5	556680242.06	y26+CMCT	2.32	0.03	C257H328N89O188P25	
1657.231478	5	116597923.05	y26+CMCT-G	1.81	0.03	C252H323N84O187P25	

 
 



Overlaps:
m/z 	z 	Int 	fragment 	error 	used?
975.11998	1	3457017.071059922	w03	-2.34	0	
975.11998	2	76563698.37639832	c06	0.85	0	
1068.65283	2	83088059.03352074	y07	0.73	1	
1068.65283	6	25363161.092399616	a20+CMCT-G	2.59	1	
1069.15449	2	68160878.49274819	y07	0.99	1	
1069.15449	6	25179352.575081408	a20+CMCT-G	2.92	1	
1069.65578	2	35809296.946406186	y07	1.05	1	
1069.65578	6	4472566.619298016	a20+CMCT-G	2.96	1	
1274.14429	3	31553644.316935185	c12	-1.09	1	
1274.14429	4	1683525.14313336	w16	-6.18	0	
1295.64805	4	3303591.1888263114	a17-A	0.44	1	
1295.64805	6	1162129.5194026052	w25-G	2.68	1	
1302.1661	1	6478293.364339755	c04	5.32	0	
1302.1661	1	7997499.721027974	w04	-2.87	1	
1329.41897	4	14473888.313543223	y17	0.5	1	
1329.41897	4	26226200.986017488	a17	5.93	1	
1329.66908	4	29091267.3190265	y17	0.06	1	
1329.66908	4	29426536.84236045	a17	5.52	1	
1329.91872	4	23849199.818685904	a17	4.76	1	
1329.91872	4	32657742.82994451	y17	-0.7	1	
1330.16885	4	15467591.01153964	a17	4.39	1	
1330.16885	4	26465209.832024463	y17	-1.08	1	
1330.42039	4	8475968.513077907	a17	5.08	1	
1330.42039	4	17155003.001218155	y17	-0.39	1	
1330.67073	4	4058700.8152688346	a17	4.88	1	
1330.67073	4	9392690.040758504	y17	-0.6	1	
1330.92235	4	1737205.3573088062	a17	5.64	1	
1330.92235	4	4492667.574908575	y17	0.16	1	
1412.20257	4	6533386.313810193	w17+CMCT	-5.14	1	
1412.20257	4	15867923.704951018	c17+CMCT	-0.04	1	
1412.4542	4	14229580.849981498	w17+CMCT	-4.48	1	
1412.4542	4	19045546.022916093	c17+CMCT	0.65	1	
1412.70367	4	16404708.074719608	c17+CMCT	-0.18	1	
1412.70367	4	17088771.624045152	w17+CMCT	-5.32	1	
